eta_0,chi_eff_0,eta_4,chi_eff_4,eta_8,chi_eff_8
,,0.231618918063888,0.12979091470726353,0.19835471617154873,0.32125901977511684
,,0.2330477588658944,0.13391715507118745,0.20021387905949722,0.32938694911231614
,,0.23441411665379314,0.13790917904847705,0.20203728335468268,0.33734057845210863
,,0.235765636207795,0.14195312126514512,0.2039072105936928,0.3452888613331966
,,0.2370707788294944,0.14591875112349434,0.2056873839342106,0.3529068695945124
,,0.2383510963597813,0.14982745067693254,0.20755966955969277,0.36076917665685587
,,0.2395877255031434,0.15374729457306302,0.20934228559737286,0.36828442607387707
,,0.24075507963573148,0.15751050185398596,0.21108604114784144,0.3756007221546601
,,0.24186857835149747,0.16127317676258124,0.21286354432867946,0.38289479828640494
,,0.24291242284074008,0.16490101587679717,0.2145488436354049,0.3898916029818476
,,0.243944734973646,0.168649240801102,0.2161681258027294,0.39656955155304047
,,0.24489151951789812,0.17232348371904366,0.21779999085995191,0.4032643292147695
,,0.24579577830188856,0.17603595087855978,0.21939431588380834,0.40983499513616417
,,0.2466167084053478,0.17967397475892208,0.22093007119527536,0.41613669569839656
,,0.24734889676719798,0.1832294457714653,0.2224048252033914,0.42225261515461016
,,0.24799960532250387,0.1867241398041825,0.22380762081318317,0.42803809635641965
,,0.24859251956640677,0.19022161343444308,0.22520480398267773,0.4339527176193219
,,0.24908682965530887,0.1936974347463342,0.22655106155749258,0.4396420621275518
,,0.24947883753390251,0.19721140362222178,0.22788269563969804,0.44527551722986725
,,0.2497777827534488,0.20073424017770045,0.2291729318463451,0.4507076280169525
,,0.2499543145436517,0.20428662050378224,0.23041263124685127,0.45602802123306646
,,,,0.23164781009391125,0.46129699954049047
,,,,0.23281771329603404,0.466450282599869
,,,,0.23398637286965443,0.47158582962789025
,,,,0.2350920027997503,0.476563913784919
,,,,0.23617057662106575,0.48151805898465677
,,,,0.23723168461745825,0.48641057481293026
,,,,0.2382358745126112,0.49109066883526753
,,,,0.23921063942575221,0.4957495636003014
,,,,0.24,0.5
,,,,0.24088914777108278,0.5045442119657665
,,,,0.24176346225466766,0.5090421120082167
,,,,0.2425768121039942,0.513408856533842
,,,,0.2433791729078247,0.5178094413648838
,,,,0.2441552432080777,0.522153670476421
,,,,0.2448795764960998,0.5265428831059068
,,,,0.24558008424007108,0.5307768374685394
,,,,0.2462422888824216,0.534937136569523
,,,,0.24684904198248195,0.5389885380623906
,,,,0.247424137751291,0.5431322138773481
,,,,0.24793339998662983,0.5472017206038192
,,,,0.24839943831420672,0.5512513421348385
,,,,0.24881673696270468,0.5553244300258197
,,,,0.24918142900849485,0.5594602678017968
,,,,0.24946658572691355,0.5633422269782328
,,,,0.24970216679233934,0.5672571812291766
,,,,0.2498732600533599,0.5711471215017465
,,,,0.24997113322837894,0.5750716453690417
